meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power
B,2018-12-31T23:00:00.001+01:00,2019-01-01T00:00:00.001+01:00,6758.0,1056874.5762711863,1051200.0,1065600.0
B,2019-01-01T00:00:00.001+01:00,2019-01-01T01:00:00.001+01:00,1064439.0,1070209.2803556544,1044000.0,1094400.0
B,2019-01-01T01:00:00.001+01:00,2019-01-01T02:00:00.001+01:00,2114680.0,1055831.2864684635,1029600.0,1069200.0
B,2019-01-01T02:00:00.001+01:00,2019-01-01T03:00:00.001+01:00,2084993.0,1042322.067815453,1026000.0,2088000.0
B,2019-01-01T03:00:00.001+01:00,2019-01-01T04:00:00.001+01:00,2066429.0,1046783.7732703529,1033200.0,1058400.0
B,2019-01-01T04:00:00.001+01:00,2019-01-01T05:00:00.001+01:00,2073180.0,1047608.0022228396,1033200.0,1058400.0
B,2019-01-01T05:00:00.001+01:00,2019-01-01T06:00:00.001+01:00,8926216.0,7978211.509591326,1033200.0,5.78628E7
B,2019-01-01T06:00:00.001+01:00,2019-01-01T07:00:00.001+01:00,2.1038928E7,1.310813129516398E7,5493600.0,2.5398E7
B,2019-01-01T07:00:00.001+01:00,2019-01-01T08:00:00.001+01:00,2.6734807E7,1.386036710197277E7,7981200.0,1.8504E7
B,2019-01-01T08:00:00.001+01:00,2019-01-01T09:00:00.001+01:00,2.7670187E7,1.4100132703528758E7,8182800.0,1.88208E7
B,2019-01-01T09:00:00.001+01:00,2019-01-01T10:00:00.001+01:00,2.789206E7,1.3931097749374826E7,7236000.0,1.72008E7
B,2019-01-01T10:00:00.001+01:00,2019-01-01T11:00:00.001+01:00,2.7603897E7,1.3795412058905251E7,6606000.0,1.75248E7
B,2019-01-01T11:00:00.001+01:00,2019-01-01T12:00:00.001+01:00,2.5871796E7,1.2355085968324535E7,6638400.0,1.69092E7
B,2019-01-01T12:00:00.001+01:00,2019-01-01T13:00:00.001+01:00,2.4468831E7,1.2328680266814897E7,5958000.0,2.63052E7
B,2019-01-01T13:00:00.001+01:00,2019-01-01T14:00:00.001+01:00,2.432893E7,1.2211233009169213E7,6195600.0,1.65312E7
B,2019-01-01T14:00:00.001+01:00,2019-01-01T15:00:00.001+01:00,2.4697118E7,1.2604017115865517E7,5846400.0,1.72044E7
B,2019-01-01T15:00:00.001+01:00,2019-01-01T16:00:00.001+01:00,2.4108495E7,1.1636152793994997E7,5137200.0,2.32632E7
B,2019-01-01T16:00:00.001+01:00,2019-01-01T17:00:00.001+01:00,2.2975235E7,1.1501841E7,1940400.0,1.69056E7
B,2019-01-01T17:00:00.001+01:00,2019-01-01T18:00:00.001+01:00,2.2441367E7,1.1150339633129517E7,3196800.0,1.64556E7
B,2019-01-01T18:00:00.001+01:00,2019-01-01T19:00:00.001+01:00,1.3336469E7,2290807.3353709364,975600.0,1.32156E7
B,2019-01-01T19:00:00.001+01:00,2019-01-01T20:00:00.001+01:00,3171422.0,1054337.7431906615,1026000.0,2095200.0
B,2019-01-01T20:00:00.001+01:00,2019-01-01T21:00:00.001+01:00,2439503.0,1413010.5029174772,1018800.0,1.0962E7
B,2019-01-01T21:00:00.001+01:00,2019-01-01T22:00:00.001+01:00,3322193.0,1949127.4242845236,1011600.0,1.27584E7
B,2019-01-01T22:00:00.001+01:00,2019-01-01T23:00:00.001+01:00,3324952.0,1380836.565712698,1022400.0,1.23876E7
B,2019-01-01T23:00:00.001+01:00,2019-01-02T00:00:00.001+01:00,2406340.0,1062060.0166712976,1040400.0,1080000.0
B,2019-01-02T00:00:00.001+01:00,2019-01-02T01:00:00.001+01:00,2294220.0,1256008.8913587108,1040400.0,3103200.0
B,2019-01-02T01:00:00.001+01:00,2019-01-02T02:00:00.001+01:00,2294507.0,1054123.8121700473,1033200.0,2120400.0
B,2019-01-02T02:00:00.001+01:00,2019-01-02T03:00:00.001+01:00,2096683.0,1049307.4742984162,1033200.0,1065600.0
B,2019-01-02T03:00:00.001+01:00,2019-01-02T04:00:00.001+01:00,2087513.0,1052534.3706585162,1036800.0,1065600.0
B,2019-01-02T04:00:00.001+01:00,2019-01-02T05:00:00.001+01:00,2079579.0,1047071.5596330275,1029600.0,2102400.0
B,2019-01-02T05:00:00.001+01:00,2019-01-02T06:00:00.001+01:00,1.0306617E7,9316393.887190886,1018800.0,7.308E7
B,2019-01-02T06:00:00.001+01:00,2019-01-02T07:00:00.001+01:00,2.3682333E7,1.4525518732629238E7,6854400.0,3.2544E7
B,2019-01-02T07:00:00.001+01:00,2019-01-02T08:00:00.001+01:00,2.8970786E7,1.4677574103917755E7,7192800.0,2.67588E7
B,2019-01-02T08:00:00.001+01:00,2019-01-02T09:00:00.001+01:00,2.8576145E7,1.4226058682967491E7,7012800.0,2.66688E7
B,2019-01-02T09:00:00.001+01:00,2019-01-02T10:00:00.001+01:00,2.8115294E7,1.4064045679355377E7,7689600.0,2.20824E7
B,2019-01-02T10:00:00.001+01:00,2019-01-02T11:00:00.001+01:00,2.6982516E7,1.3132146637020567E7,5166000.0,2.9034E7
B,2019-01-02T11:00:00.001+01:00,2019-01-02T12:00:00.001+01:00,2.5864137E7,1.2995945439236598E7,3999600.0,2.745324E8
B,2019-01-02T12:00:00.001+01:00,2019-01-02T13:00:00.001+01:00,2.6020075E7,1.3322181606001668E7,2278800.0,2.60388E7
B,2019-01-02T13:00:00.001+01:00,2019-01-02T14:00:00.001+01:00,2.6662103E7,1.3482509282934964E7,4694400.0,2.86488E7
B,2019-01-02T14:00:00.001+01:00,2019-01-02T15:00:00.001+01:00,2.6156343E7,1.3092685423153128E7,1425600.0,2.790648E8
B,2019-01-02T15:00:00.001+01:00,2019-01-02T16:00:00.001+01:00,2.3700163E7,1.112626013908206E7,1296000.0,5.25456E7
B,2019-01-02T16:00:00.001+01:00,2019-01-02T17:00:00.001+01:00,2.2621883E7,1.1625574326201722E7,1591200.0,2.48436E7
B,2019-01-02T17:00:00.001+01:00,2019-01-02T18:00:00.001+01:00,2.3121179E7,1.1607564323423173E7,1234800.0,2.34468E7
B,2019-01-02T18:00:00.001+01:00,2019-01-02T19:00:00.001+01:00,1.3888948E7,2402689.2410341953,975600.0,3.1356E7
B,2019-01-02T19:00:00.001+01:00,2019-01-02T20:00:00.001+01:00,3247664.0,1054134.8152264517,1026000.0,2077200.0
B,2019-01-02T20:00:00.001+01:00,2019-01-02T21:00:00.001+01:00,2298970.0,1280699.4952327537,1018800.0,2.39724E7
B,2019-01-02T21:00:00.001+01:00,2019-01-02T22:00:00.001+01:00,2316031.0,1057948.7493051696,1015200.0,9100800.0
B,2019-01-02T22:00:00.001+01:00,2019-01-02T23:00:00.001+01:00,2079357.0,1035653.6815782161,1015200.0,1069200.0
B,2019-01-02T23:00:00.001+01:00,2019-01-03T00:00:00.001+01:00,2296688.0,1288606.9463739928,1011600.0,3081600.0
B,2019-01-03T00:00:00.001+01:00,2019-01-03T01:00:00.001+01:00,2312443.0,1036790.0,1011600.0,1051200.0
B,2019-01-03T01:00:00.001+01:00,2019-01-03T02:00:00.001+01:00,2043405.0,1040093.9149763823,1018800.0,1058400.0
B,2019-01-03T02:00:00.001+01:00,2019-01-03T03:00:00.001+01:00,2049684.0,1034409.3359266463,1018800.0,1047600.0
B,2019-01-03T03:00:00.001+01:00,2019-01-03T04:00:00.001+01:00,2055940.0,1035862.7396499028,1018800.0,1051200.0
B,2019-01-03T04:00:00.001+01:00,2019-01-03T05:00:00.001+01:00,2285764.0,1269932.7590997498,1011600.0,2941200.0
B,2019-01-03T05:00:00.001+01:00,2019-01-03T06:00:00.001+01:00,9292296.0,8275612.562534741,1008000.0,2.60532E7
B,2019-01-03T06:00:00.001+01:00,2019-01-03T07:00:00.001+01:00,2.0258583E7,1.2218346985273687E7,979200.0,2.39508E7
B,2019-01-03T07:00:00.001+01:00,2019-01-03T08:00:00.001+01:00,2.6131799E7,1.4261353487079745E7,975600.0,2.77668E7
B,2019-01-03T08:00:00.001+01:00,2019-01-03T09:00:00.001+01:00,2.7192127E7,1.3172009891636565E7,928800.0,2.65932E7
B,2019-01-03T09:00:00.001+01:00,2019-01-03T10:00:00.001+01:00,2.7046912E7,1.4152667296471242E7,3049200.0,2.71224E7
B,2019-01-03T10:00:00.001+01:00,2019-01-03T11:00:00.001+01:00,2.74396E7,1.3464687190886358E7,1670400.0,2.55708E7
B,2019-01-03T11:00:00.001+01:00,2019-01-03T12:00:00.001+01:00,2.6310618E7,1.3103750792326938E7,1555200.0,3.0816E7
B,2019-01-03T12:00:00.001+01:00,2019-01-03T13:00:00.001+01:00,2.5525055E7,1.2741490302861907E7,2502000.0,2.55564E7
B,2019-01-03T13:00:00.001+01:00,2019-01-03T14:00:00.001+01:00,2.4506755E7,1.1941761155876633E7,5259600.0,2.30472E7
B,2019-01-03T14:00:00.001+01:00,2019-01-03T15:00:00.001+01:00,2.339738E7,1.161210558488469E7,3999600.0,2.2518E7
B,2019-01-03T15:00:00.001+01:00,2019-01-03T16:00:00.001+01:00,2.3845459E7,1.2341912308974715E7,4917600.0,2.77164E7
B,2019-01-03T16:00:00.001+01:00,2019-01-03T17:00:00.001+01:00,2.3819697E7,1.1739408946929703E7,5644800.0,2.51208E7
B,2019-01-03T17:00:00.001+01:00,2019-01-03T18:00:00.001+01:00,1.9027452E7,7443972.701949861,892800.0,1.95228E7
B,2019-01-03T18:00:00.001+01:00,2019-01-03T19:00:00.001+01:00,1.0139445E7,2822814.2301278487,1008000.0,1.0584E7
B,2019-01-03T19:00:00.001+01:00,2019-01-03T20:00:00.001+01:00,4337071.0,1527514.3095304251,986400.0,9900000.0
B,2019-01-03T20:00:00.001+01:00,2019-01-03T21:00:00.001+01:00,3092001.0,1597431.731036399,993600.0,1.23444E7
B,2019-01-03T21:00:00.001+01:00,2019-01-03T22:00:00.001+01:00,2659788.0,1074192.3867741039,1004400.0,1.0746E7
B,2019-01-03T22:00:00.001+01:00,2019-01-03T23:00:00.001+01:00,2498743.0,1447847.1797721589,1000800.0,1.08432E7
B,2019-01-03T23:00:00.001+01:00,2019-01-04T00:00:00.001+01:00,2482010.0,1048895.359822173,1026000.0,1101600.0
B,2019-01-04T00:00:00.001+01:00,2019-01-04T01:00:00.001+01:00,2079485.0,1052081.2447902195,1029600.0,1072800.0
B,2019-01-04T01:00:00.001+01:00,2019-01-04T02:00:00.001+01:00,2070134.0,1041598.3328702417,1015200.0,1062000.0
B,2019-01-04T02:00:00.001+01:00,2019-01-04T03:00:00.001+01:00,2069730.0,1040907.2818232351,1011600.0,2088000.0
B,2019-01-04T03:00:00.001+01:00,2019-01-04T04:00:00.001+01:00,2075230.0,1047904.0844679078,1033200.0,1062000.0
B,2019-01-04T04:00:00.001+01:00,2019-01-04T05:00:00.001+01:00,2320295.0,1280696.2468723936,1018800.0,3009600.0
B,2019-01-04T05:00:00.001+01:00,2019-01-04T06:00:00.001+01:00,9909058.0,8775923.513062812,1011600.0,1.6614E7
